Title,Description,Source,Date,URL,Topic,full_text,cleaned_text,processed_text,vader_label,vader_score,sentiment_label,ml_trained
South Africa needs R250 billion just to meet basic climate adaptation needs over the next decade,"South Africa needs almost US$15 billion over a decade just to reach a basic level of climate adaptation, that protects water, food, health and infrastructure.",The Conversation Africa,"24 Mar 2026, 14:20",https://theconversation.com/south-africa-needs-r250-billion-just-to-meet-basic-climate-adaptation-needs-over-the-next-decade-276146,uk,"South Africa needs R250 billion just to meet basic climate adaptation needs over the next decade South Africa needs almost US$15 billion over a decade just to reach a basic level of climate adaptation, that protects water, food, health and infrastructure.",south africa needs billion meet basic climate adaptation needs next decade south africa needs almost billion decade reach basic level climate adaptation protects water food health infrastructure,south africa needs billion meet basic climate adaptation needs next decade south africa needs almost billion decade reach basic level climate adaptation protects water food health infrastructure,Positive,0.2815,Positive,True
Flea Brings Cover of Frank Ocean’s “Thinkin Bout You” to Fallon: Watch,"Flea also sat for an interview where he addressed a bandage on his forehead, explaining that it was from a ""bizarre peeing accident."" Flea Brings Cover of Frank Ocean’s “Thinkin Bout You” to Fallon: Watch Paolo Ragusa",Consequence.net,"24 Mar 2026, 14:18",https://consequence.net/2026/03/flea-thinkin-bout-you-fallon-watch/,uk,"Flea Brings Cover of Frank Ocean’s “Thinkin Bout You” to Fallon: Watch Flea also sat for an interview where he addressed a bandage on his forehead, explaining that it was from a ""bizarre peeing accident."" Flea Brings Cover of Frank Ocean’s “Thinkin Bout You” to Fallon: Watch Paolo Ragusa",flea brings cover frank ocean thinkin bout fallon watch flea also sat interview addressed bandage forehead explaining bizarre peeing accident flea brings cover frank ocean thinkin bout fallon watch paolo ragusa,flea brings cover frank ocean thinkin bout fallon watch flea also sat interview addressed bandage forehead explaining bizarre peeing accident flea brings cover frank ocean thinkin bout fallon watch paolo ragusa,Negative,-0.6597,Negative,True
Who is Trump talking to in Iran?,"US President Donald Trump has postponed his threat to bomb Iran's energy infrastructure, and claims Tehran wants to negotiate a deal with Washington. How has this come about? US President Donald Trump surprised everyone on Monday by claiming that his administ…",DW (English),"24 Mar 2026, 14:16",https://www.dw.com/en/who-is-trump-talking-to-in-iran/a-76507888,uk,"Who is Trump talking to in Iran? US President Donald Trump has postponed his threat to bomb Iran's energy infrastructure, and claims Tehran wants to negotiate a deal with Washington. How has this come about? US President Donald Trump surprised everyone on Monday by claiming that his administ…",trump talking iran president donald trump postponed threat bomb iran energy infrastructure claims tehran wants negotiate deal washington come president donald trump surprised everyone monday claiming administ,trump talking iran president donald trump postponed threat bomb iran energy infrastructure claims tehran wants negotiate deal washington come president donald trump surprised everyone monday claiming administ,Negative,-0.6597,Negative,True
Seiko launches four new Astron Nexter watches with solar power and automatic GPS time sync,,Notebookcheck.net,"24 Mar 2026, 14:12",https://www.notebookcheck.net/Seiko-launches-four-new-Astron-Nexter-watches-with-solar-power-and-automatic-GPS-time-sync.1257515.0.html,uk,Seiko launches four new Astron Nexter watches with solar power and automatic GPS time sync ,seiko launches four new astron nexter watches solar power automatic gps time sync,seiko launches four new astron nexter watches solar power automatic gps time sync,Neutral,0.0,Positive,True
"Watch ACID BATH Play ""The Blue"" Live For The First Time In Nearly 30 Years","Acid Bath brought the heaviness to The Caverns in Pelham, TN, on March 21 and surprised everyone with their choice of show closer. The post Watch ACID BATH Play ""The Blue"" Live For The First Time In Nearly 30 Years appeared first on Metal Injection.",Metal Injection.net,"24 Mar 2026, 14:11",https://metalinjection.net/video/watch-acid-bath-play-the-blue-live-for-the-first-time-in-nearly-30-years,uk,"Watch ACID BATH Play ""The Blue"" Live For The First Time In Nearly 30 Years Acid Bath brought the heaviness to The Caverns in Pelham, TN, on March 21 and surprised everyone with their choice of show closer. The post Watch ACID BATH Play ""The Blue"" Live For The First Time In Nearly 30 Years appeared first on Metal Injection.",watch acid bath play blue live first time nearly years acid bath brought heaviness caverns pelham march surprised everyone choice show closer post watch acid bath play blue live first time nearly years appeared first metal injection,watch acid bath play blue live first time nearly years acid bath brought heaviness caverns pelham march surprised everyone choice show closer post watch acid bath play blue live first time nearly years appeared first metal injection,Positive,0.6908,Positive,True
Insurity Expands Strategic Partnership with EuroTempest to Deliver Enhanced Windstorm and Event Intelligence Through SpatialKey,"Insurity’s partnership with EuroTempest builds on nearly a decade of collaboration to provide deeper geospatial risk insights for insurers across Europe and beyond HARTFORD, Conn. — Insurity, a leading provider of cloud-based software and analytics for proper…",Financial Post,"24 Mar 2026, 14:08",https://financialpost.com/pmn/business-wire-news-releases-pmn/insurity-expands-strategic-partnership-with-eurotempest-to-deliver-enhanced-windstorm-and-event-intelligence-through-spatialkey,uk,"Insurity Expands Strategic Partnership with EuroTempest to Deliver Enhanced Windstorm and Event Intelligence Through SpatialKey Insurity’s partnership with EuroTempest builds on nearly a decade of collaboration to provide deeper geospatial risk insights for insurers across Europe and beyond HARTFORD, Conn. — Insurity, a leading provider of cloud-based software and analytics for proper…",insurity expands strategic partnership eurotempest deliver enhanced windstorm event intelligence spatialkey insurity partnership eurotempest builds nearly decade collaboration provide deeper geospatial risk insights insurers across europe beyond hartford conn insurity leading provider cloud based software analytics proper,insurity expands strategic partnership eurotempest deliver enhanced windstorm event intelligence spatialkey insurity partnership eurotempest builds nearly decade collaboration provide deeper geospatial risk insights insurers across europe beyond hartford conn insurity leading provider cloud based software analytics proper,Positive,0.34,Positive,True
Bank of London Fined $2.6 Million for Misleading Regulators,British regulators have fined the Bank of London for providing fabricated documents about its finances. The Prudential Regulation Authority (PRA) announced the fine of 2 million pounds ($2.6 million) against the bank and its parent company Oplyse Holdings Lim…,pymnts.com,"24 Mar 2026, 14:06",https://www.pymnts.com/bank-regulation/2026/bank-of-london-fined-2-6-million-for-misleading-regulators/,uk,Bank of London Fined $2.6 Million for Misleading Regulators British regulators have fined the Bank of London for providing fabricated documents about its finances. The Prudential Regulation Authority (PRA) announced the fine of 2 million pounds ($2.6 million) against the bank and its parent company Oplyse Holdings Lim…,bank london fined million misleading regulators british regulators fined bank london providing fabricated documents finances prudential regulation authority pra announced fine million pounds million bank parent company oplyse holdings lim,bank london fined million misleading regulators british regulators fined bank london providing fabricated documents finances prudential regulation authority pra announced fine million pounds million bank parent company oplyse holdings lim,Negative,-0.1531,Negative,True
Amnezia Has a New VPN Protocol to Stay a Step Ahead of Censors,"The Cyprus-based company is implementing a new technique for keeping Iranians, Russians and others online.",CNET,"24 Mar 2026, 14:00",https://www.cnet.com/tech/services-and-software/amnezia-vpn-new-protocol-amneziawg-v2/,uk,"Amnezia Has a New VPN Protocol to Stay a Step Ahead of Censors The Cyprus-based company is implementing a new technique for keeping Iranians, Russians and others online.",amnezia new vpn protocol stay step ahead censors cyprus based company implementing new technique keeping iranians russians others online,amnezia new vpn protocol stay step ahead censors cyprus based company implementing new technique keeping iranians russians others online,Negative,-0.296,Negative,True
Married At First Sight's Mel Schilling dies aged 54 ‘surrounded by love’,Her death comes weeks after doctors said they could no longer treat her cancer.,TheJournal.ie,"24 Mar 2026, 14:00",https://www.thejournal.ie/mel-schilling-6993269-Mar2026/,uk,Married At First Sight's Mel Schilling dies aged 54 ‘surrounded by love’ Her death comes weeks after doctors said they could no longer treat her cancer.,married first sight mel schilling dies aged surrounded love death comes weeks doctors said could longer treat cancer,married first sight mel schilling dies aged surrounded love death comes weeks doctors said could longer treat cancer,Negative,-0.34,Negative,True
Cable stars forced into podcasting...,"CNN has begun experimenting with YouTube-style podcasting, but thus far it’s invited more mockery than praise as veterans question the strategy.",Status.news,"24 Mar 2026, 14:00",https://www.status.news/p/cnn-podcast-sets-jake-tapper-anderson-cooper-msnow,uk,"Cable stars forced into podcasting... CNN has begun experimenting with YouTube-style podcasting, but thus far it’s invited more mockery than praise as veterans question the strategy.",cable stars forced podcasting cnn begun experimenting youtube style podcasting thus far invited mockery praise veterans question strategy,cable stars forced podcasting cnn begun experimenting youtube style podcasting thus far invited mockery praise veterans question strategy,Negative,-0.1779,Negative,True
