Title,Description,Source,Date,URL,Topic,full_text,cleaned_text,processed_text,vader_label,vader_score,sentiment_label,ml_trained,sentiment_score
Haryana uses AI to speed up TB elimination: Senior official,"Haryana is using three Artificial Intelligence tools to combat tuberculosis. These AI solutions help detect TB cases early, monitor patients effectively, and identify high-risk areas. The state has already seen significant engagement with these technologies, …",The Times of India,"13 Mar 2026, 13:34",https://economictimes.indiatimes.com/tech/artificial-intelligence/haryana-uses-ai-to-speed-up-tb-elimination-senior-official/articleshow/129555385.cms,technology,"Haryana uses AI to speed up TB elimination: Senior official Haryana is using three Artificial Intelligence tools to combat tuberculosis. These AI solutions help detect TB cases early, monitor patients effectively, and identify high-risk areas. The state has already seen significant engagement with these technologies, …",haryana uses speed elimination senior official haryana using three artificial intelligence tools combat tuberculosis solutions help detect cases early monitor patients effectively identify high risk areas state already seen significant engagement technologies,haryana uses speed elimination senior official haryana using three artificial intelligence tools combat tuberculosis solutions help detect cases early monitor patients effectively identify high risk areas state already seen significant engagement technologies,Positive,0.8658,Positive,True,0.127
"The death of the IT department, as we know it",The people in your business who actually deliver the work understand their own challenges in a way no IT team can.,TechRadar,"13 Mar 2026, 13:33",https://www.techradar.com/pro/the-death-of-the-it-department-as-we-know-it,technology,"The death of the IT department, as we know it The people in your business who actually deliver the work understand their own challenges in a way no IT team can.",death department know people business actually deliver work understand challenges way team,death department know people business actually deliver work understand challenges way team,Negative,-0.5574,Neutral,True,0.0
"NewtekOne, Inc. Declares Dividends on Common Stock and Series B Preferred Shares","BOCA RATON, Fla., March 13, 2026 (GLOBE NEWSWIRE) -- NewtekOne, Inc. (“the Company”) (NASDAQ: NEWT) announced that its Board of Directors declared a quarterly cash dividend of $0.19 per share on the Company’s outstanding common stock. The dividend is payable …",GlobeNewswire,"13 Mar 2026, 13:33",https://www.globenewswire.com/news-release/2026/03/13/3255570/0/en/NewtekOne-Inc-Declares-Dividends-on-Common-Stock-and-Series-B-Preferred-Shares.html,technology,"NewtekOne, Inc. Declares Dividends on Common Stock and Series B Preferred Shares BOCA RATON, Fla., March 13, 2026 (GLOBE NEWSWIRE) -- NewtekOne, Inc. (“the Company”) (NASDAQ: NEWT) announced that its Board of Directors declared a quarterly cash dividend of $0.19 per share on the Company’s outstanding common stock. The dividend is payable …",newtekone inc declares dividends common stock series preferred shares boca raton fla march globe newswire newtekone inc company nasdaq newt announced board directors declared quarterly cash dividend per share company outstanding common stock dividend payable,newtekone inc declares dividends common stock series preferred shares boca raton fla march globe newswire newtekone inc company nasdaq newt announced board directors declared quarterly cash dividend per share company outstanding common stock dividend payable,Positive,0.8126,Neutral,True,-0.033333333333333326
‘America as it Happened:’ A Book Review,'America as it Happened' is a new history book that tells the story of the United States from prehistory to 2025 as though it were a series of newspaper reports.,Geekdad.com,"13 Mar 2026, 13:31",https://geekdad.com/2026/03/america-as-it-happened-a-book-review/,technology,‘America as it Happened:’ A Book Review 'America as it Happened' is a new history book that tells the story of the United States from prehistory to 2025 as though it were a series of newspaper reports.,america happened book review america happened new history book tells story united states prehistory though series newspaper reports,america happened book review america happened new history book tells story united states prehistory though series newspaper reports,Positive,0.4215,Positive,True,0.13636363636363635
New Image Showcases Major Magneto Redesign Ahead Of X-Men's New Comic Appearance,"Marvel confirms Magneto's new redesign for his return as a hero alongside the X-Men, with a much older, weaker version of the Master of Magnetism.",Screen Rant,"13 Mar 2026, 13:31",https://screenrant.com/x-men-magneto-new-design-powers-change/,technology,"New Image Showcases Major Magneto Redesign Ahead Of X-Men's New Comic Appearance Marvel confirms Magneto's new redesign for his return as a hero alongside the X-Men, with a much older, weaker version of the Master of Magnetism.",new image showcases major magneto redesign ahead men new comic appearance marvel confirms magneto new redesign return hero alongside men much older weaker version master magnetism,new image showcases major magneto redesign ahead men new comic appearance marvel confirms magneto new redesign return hero alongside men much older weaker version master magnetism,Positive,0.5423,Positive,True,0.14804292929292928
"Notable links: March 13, 2026","Bluesky's new CEO, Proton Mail de-anonymization, and promoting safety at work.",Werd.io,"13 Mar 2026, 13:30",https://werd.io/notable-links-march-13-2026/,technology,"Notable links: March 13, 2026 Bluesky's new CEO, Proton Mail de-anonymization, and promoting safety at work.",notable links march bluesky new ceo proton mail anonymization promoting safety work,notable links march bluesky new ceo proton mail anonymization promoting safety work,Positive,0.6486,Positive,True,0.3181818181818182
"UK central bank is warming up to stablecoins, but says industry input is lacking","The Bank of England is open to fixes on its proposed stablecoin framework, but one official said it needs better feedback from crypto industry participants.",Cointelegraph,"13 Mar 2026, 13:30",https://cointelegraph.com/features/uk-central-bank-stablecoin-industry-input-lacking,technology,"UK central bank is warming up to stablecoins, but says industry input is lacking The Bank of England is open to fixes on its proposed stablecoin framework, but one official said it needs better feedback from crypto industry participants.",central bank warming stablecoins says industry input lacking bank england open fixes proposed stablecoin framework one official said needs better feedback crypto industry participants,central bank warming stablecoins says industry input lacking bank england open fixes proposed stablecoin framework one official said needs better feedback crypto industry participants,Positive,0.5423,Positive,True,0.16666666666666666
Sonos boss isn’t impressed by music-streamers’ innovation,"Tom Conrad is CEO of connected-speakers firm Sonos, but he was also chief technology officer at music-streaming service Pandora for a decade. His views on the current music-streaming landscape are certainly sharp. “The iPod invented the core conventions of mo…",Music Ally,"13 Mar 2026, 13:30",http://musically.com/2026/03/13/sonos-boss-isnt-impressed-by-music-streamers-innovation/,technology,"Sonos boss isn’t impressed by music-streamers’ innovation Tom Conrad is CEO of connected-speakers firm Sonos, but he was also chief technology officer at music-streaming service Pandora for a decade. His views on the current music-streaming landscape are certainly sharp. “The iPod invented the core conventions of mo…",sonos boss impressed music streamers innovation tom conrad ceo connected speakers firm sonos also chief technology officer music streaming service pandora decade views current music streaming landscape certainly sharp ipod invented core conventions,sonos boss impressed music streamers innovation tom conrad ceo connected speakers firm sonos also chief technology officer music streaming service pandora decade views current music streaming landscape certainly sharp ipod invented core conventions,Positive,0.7964,Positive,True,0.16875
Motional robotaxis join the Uber app in Vegas two years after major reset | TechCrunch,"The launch comes just two years after a major reboot at Hyundai-owned Motional. The service will start with a safety monitor, which Motional hopes to remove by year's end.",TechCrunch,"13 Mar 2026, 13:26",https://techcrunch.com/2026/03/13/motional-robotaxis-join-the-uber-app-in-vegas-two-years-after-major-reset/,technology,"Motional robotaxis join the Uber app in Vegas two years after major reset | TechCrunch The launch comes just two years after a major reboot at Hyundai-owned Motional. The service will start with a safety monitor, which Motional hopes to remove by year's end.",motional robotaxis join uber app vegas two years major reset techcrunch launch comes two years major reboot hyundai owned motional service start safety monitor motional hopes remove year end,motional robotaxis join uber app vegas two years major reset techcrunch launch comes two years major reboot hyundai owned motional service start safety monitor motional hopes remove year end,Positive,0.7783,Positive,True,0.0625
Chevy's 2026 Equinox EV Trades Big Thrills For Small Bills,Chevrolet's electric Equinox doesn't reinvent the wheel (and that's a good thing).,SlashGear,"13 Mar 2026, 13:25",https://www.slashgear.com/2119998/2026-chevrolet-equinox-ev-review/,technology,Chevy's 2026 Equinox EV Trades Big Thrills For Small Bills Chevrolet's electric Equinox doesn't reinvent the wheel (and that's a good thing).,chevy equinox trades big thrills small bills chevrolet electric equinox reinvent wheel good thing,chevy equinox trades big thrills small bills chevrolet electric equinox reinvent wheel good thing,Positive,0.6597,Positive,True,0.15
