Title,Description,Source,Date,full_text,cleaned_text,processed_text,sentiment
The Grind celebrates 10 years of coffee success at Bathurst RSL,The Grind celebrates 10 years of coffee success at Bathurst RSLwesternadvocate.com.au,Western Advocate,2026-02-23T06:13:05Z,The Grind celebrates 10 years of coffee success at Bathurst RSL The Grind celebrates 10 years of coffee success at Bathurst RSLwesternadvocate.com.au,the grind celebrates years of coffee success at bathurst rsl the grind celebrates years of coffee success at bathurst rslwesternadvocatecomau,grind celebrates years coffee success bathurst rsl grind celebrates years coffee success bathurst rslwesternadvocatecomau,Positive
How can the White House release UFO files politics,"The administration announced plans to identify and release government records related to unidentified aerial phenomena and “extraterrestrial life,” but turning that pledge into public documents requires legal and procedural steps. What the White House can and…",Alltoc.com,2026-02-23T06:07:48Z,"How can the White House release UFO files politics The administration announced plans to identify and release government records related to unidentified aerial phenomena and “extraterrestrial life,” but turning that pledge into public documents requires legal and procedural steps. What the White House can and…",how can the white house release ufo files politics the administration announced plans to identify and release government records related to unidentified aerial phenomena and extraterrestrial life but turning that pledge into public documents requires legal and procedural steps what the white house can and,white house release ufo files politics administration announced plans identify release government records related unidentified aerial phenomena extraterrestrial life turning pledge public documents requires legal procedural steps white house,Positive
What caused the MaraLago shooting politics,"What happened and what investigators say Shortly after midnight, security personnel at the presidential resort encountered an unauthorized person who had breached the secure perimeter. Law enforcement officers say the individual was observed carrying what app…",Alltoc.com,2026-02-23T06:07:48Z,"What caused the MaraLago shooting politics What happened and what investigators say Shortly after midnight, security personnel at the presidential resort encountered an unauthorized person who had breached the secure perimeter. Law enforcement officers say the individual was observed carrying what app…",what caused the maralago shooting politics what happened and what investigators say shortly after midnight security personnel at the presidential resort encountered an unauthorized person who had breached the secure perimeter law enforcement officers say the individual was observed carrying what app,caused maralago shooting politics happened investigators say shortly midnight security personnel presidential resort encountered unauthorized person breached secure perimeter law enforcement officers say individual observed carrying app,Positive
Congress goes on offensive after Bhupen Borahs exit launches statewide chargesheet against Himanta Govt,"Even as former APCC president Bhupen Kumar Borah walked out of the Congress, the Assam Pradesh Congress Committee (APCC) on Sunday hit back with an aggressive statewide campaign targeting Chief Minister Himanta Biswa Sarma and his government. The party has be…",Syllad.com,2026-02-23T06:01:31Z,"Congress goes on offensive after Bhupen Borahs exit launches statewide chargesheet against Himanta Govt Even as former APCC president Bhupen Kumar Borah walked out of the Congress, the Assam Pradesh Congress Committee (APCC) on Sunday hit back with an aggressive statewide campaign targeting Chief Minister Himanta Biswa Sarma and his government. The party has be…",congress goes on offensive after bhupen borahs exit launches statewide chargesheet against himanta govt even as former apcc president bhupen kumar borah walked out of the congress the assam pradesh congress committee apcc on sunday hit back with an aggressive statewide campaign targeting chief minister himanta biswa sarma and his government the party has be,congress goes offensive bhupen borahs exit launches statewide chargesheet himanta govt even former apcc president bhupen kumar borah walked congress assam pradesh congress committee apcc sunday hit back aggressive statewide campaign targeting chief minister himanta biswa sarma government party,Neutral
Why the TV industry keeps falling in love with the Kennedys Americas answer to the royal family,"As Ryan Murphy takes on the story of JFK Jr and Carolyn Bessette, and Netflix plan an all-American successor to ‘The Crown’, Katie Rosseinsky explores the quasi-mythical appeal of the Kennedy family",The-independent.com,2026-02-23T06:00:00Z,"Why the TV industry keeps falling in love with the Kennedys Americas answer to the royal family As Ryan Murphy takes on the story of JFK Jr and Carolyn Bessette, and Netflix plan an all-American successor to ‘The Crown’, Katie Rosseinsky explores the quasi-mythical appeal of the Kennedy family",why the tv industry keeps falling in love with the kennedys americas answer to the royal family as ryan murphy takes on the story of jfk jr and carolyn bessette and netflix plan an allamerican successor to the crown katie rosseinsky explores the quasimythical appeal of the kennedy family,industry keeps falling love kennedys americas answer royal family ryan murphy takes story jfk carolyn bessette netflix plan allamerican successor crown katie rosseinsky explores quasimythical appeal kennedy family,Positive
Agency reckoning CIA purges politicized intel from Obama Biden era in sweeping corrective action,"The CIA has retracted or revised 19 intelligence reports from 2015-2023 for failing impartiality standards. The politicized reports covered topics like domestic extremism, LGBT issues and contraception, straying from core national security. This action follow…",Naturalnews.com,2026-02-23T06:00:00Z,"Agency reckoning CIA purges politicized intel from Obama Biden era in sweeping corrective action The CIA has retracted or revised 19 intelligence reports from 2015-2023 for failing impartiality standards. The politicized reports covered topics like domestic extremism, LGBT issues and contraception, straying from core national security. This action follow…",agency reckoning cia purges politicized intel from obama biden era in sweeping corrective action the cia has retracted or revised intelligence reports from for failing impartiality standards the politicized reports covered topics like domestic extremism lgbt issues and contraception straying from core national security this action follow,agency reckoning cia purges politicized intel obama biden era sweeping corrective action cia retracted revised intelligence reports failing impartiality standards politicized reports covered topics like domestic extremism lgbt issues contraception straying core national security action follow,Positive
Tamil Nadu assembly polls MMK to contest under DMK alliance seeks five seats,DMK leaders met with Manithaneya Makkal Katchi and Indian Union Muslim League for seat sharing. MMK requested five seats. Naam Tamilar Katchi announced all 234 candidates. AIADMK revealed five election promises. The Tamil Nadu Assembly elections are approachi…,The Times of India,2026-02-23T05:57:16Z,Tamil Nadu assembly polls MMK to contest under DMK alliance seeks five seats DMK leaders met with Manithaneya Makkal Katchi and Indian Union Muslim League for seat sharing. MMK requested five seats. Naam Tamilar Katchi announced all 234 candidates. AIADMK revealed five election promises. The Tamil Nadu Assembly elections are approachi…,tamil nadu assembly polls mmk to contest under dmk alliance seeks five seats dmk leaders met with manithaneya makkal katchi and indian union muslim league for seat sharing mmk requested five seats naam tamilar katchi announced all candidates aiadmk revealed five election promises the tamil nadu assembly elections are approachi,tamil nadu assembly polls mmk contest dmk alliance seeks five seats dmk leaders met manithaneya makkal katchi indian union muslim league seat sharing mmk requested five seats naam tamilar katchi announced candidates aiadmk revealed five election promises tamil nadu assembly elections approachi,Neutral
New report reframes modern power through a biblical lens in age of global turbulence,"At a time of global instability, questions about who holds power and how they use it have become increasingly urgent.",Christiantoday.com,2026-02-23T05:46:00Z,"New report reframes modern power through a biblical lens in age of global turbulence At a time of global instability, questions about who holds power and how they use it have become increasingly urgent.",new report reframes modern power through a biblical lens in age of global turbulence at a time of global instability questions about who holds power and how they use it have become increasingly urgent,new report reframes modern power biblical lens age global turbulence time global instability questions holds power use become increasingly urgent,Positive
In age of global turbulence new report reframes power through a biblical lens,"At a time of global instability, questions about who holds power and how they use it have become increasingly urgent.",Christiantoday.com,2026-02-23T05:46:00Z,"In age of global turbulence new report reframes power through a biblical lens At a time of global instability, questions about who holds power and how they use it have become increasingly urgent.",in age of global turbulence new report reframes power through a biblical lens at a time of global instability questions about who holds power and how they use it have become increasingly urgent,age global turbulence new report reframes power biblical lens time global instability questions holds power use become increasingly urgent,Positive
War of words in Kerala assembly over Sabarimala gold row,"Tensions escalated in the Kerala Assembly as the ruling LDF and opposition UDF clashed over the controversial Sabarimala gold loss. The UDF voiced their concerns over the arrest of Tantri Kandararu Rajeevaru, sparking heated debates. In response, ministers de…",The Times of India,2026-02-23T05:40:14Z,"War of words in Kerala assembly over Sabarimala gold row Tensions escalated in the Kerala Assembly as the ruling LDF and opposition UDF clashed over the controversial Sabarimala gold loss. The UDF voiced their concerns over the arrest of Tantri Kandararu Rajeevaru, sparking heated debates. In response, ministers de…",war of words in kerala assembly over sabarimala gold row tensions escalated in the kerala assembly as the ruling ldf and opposition udf clashed over the controversial sabarimala gold loss the udf voiced their concerns over the arrest of tantri kandararu rajeevaru sparking heated debates in response ministers de,war words kerala assembly sabarimala gold row tensions escalated kerala assembly ruling ldf opposition udf clashed controversial sabarimala gold loss udf voiced concerns arrest tantri kandararu rajeevaru sparking heated debates response ministers,Positive
